Phylum,color,FULLID
Proteobacteria,green,gi|114939|sp|P00722.2|BGAL_ECOLI
Proteobacteria,green,gi|291071441|gb|EFE09550.1|
Proteobacteria,green,gi|99034947|gb|ABF62001.1|
Proteobacteria,green,gi|211956897|gb|EEA92104.1|
Proteobacteria,green,gi|315499587|ref|YP_004088390.1|
Proteobacteria,green,gi|493316361|ref|WP_006273742.1|
Proteobacteria,green,gi|499788375|ref|WP_011469109.1|
Proteobacteria,green,gi|550941522|ref|WP_022689924.1|
Proteobacteria,green,gi|497905875|ref|WP_010220031.1|
Proteobacteria,green,gi|558565824|ref|WP_023495964.1|
Proteobacteria,green,gi|524717076|emb|CDE18721.1|
Proteobacteria,green,gi|491576564|ref|WP_005434141.1|
Proteobacteria,green,gi|112823516|gb|ABI25605.1|
Proteobacteria,green,gi|237501892|gb|ACQ94485.1|
Proteobacteria,green,gi|312207879|pdb|3LPG|A
Proteobacteria,green,gi|194710932|gb|ACF90153.1|
Proteobacteria,green,gi|451314617|dbj|GAC65314.1|
Proteobacteria,green,gi|396091592|gb|EJI89158.1|
Bacteroidetes,brown,gi|190613741|pdb|3DEC|A
Bacteroidetes,brown,gi|186973073|pdb|3CMG|A
Bacteroidetes,brown,gi|313204096|ref|YP_004042753.1|
Bacteroidetes,brown,gi|85830605|gb|EAQ49063.1|
Bacteroidetes,brown,gi|373890074|gb|EHQ25971.1|
Bacteroidetes,brown,gi|361059762|gb|AEV98753.1|
Bacteroidetes,brown,gi|189434720|gb|EDV03705.1|
Bacteroidetes,brown,gi|260624569|gb|EEX47440.1|
Bacteroidetes,brown,gi|291514781|emb|CBK63991.1|
Bacteroidetes,brown,gi|156859696|gb|EDO53127.1|
Bacteroidetes,brown,gi|156109815|gb|EDO11560.1|
Bacteroidetes,brown,gi|502837379|ref|WP_013072355.1|
Bacteroidetes,brown,gi|495081363|ref|WP_007806187.1|
Bacteroidetes,brown,gi|324974197|gb|ADY53181.1|
Bacteroidetes,brown,gi|503986578|ref|WP_014220572.1|
Bacteroidetes,brown,gi|373890013|gb|EHQ25910.1|
Bacteroidetes,brown,gi|498350574|ref|WP_010664730.1|
Bacteroidetes,brown,gi|547748708|ref|WP_022161778.1|
Bacteroidetes,brown,gi|497948932|ref|WP_010263088.1|
Bacteroidetes,brown,gi|503833198|ref|WP_014067192.1|
Bacteroidetes,brown,gi|503317634|ref|WP_013552295.1|
Bacteroidetes,brown,gi|500937400|ref|WP_012026172.1|
Bacteroidetes,brown,gi|498108645|ref|WP_010422801.1|
Bacteroidetes,brown,gi|497947768|ref|WP_010261924.1|
Bacteroidetes,brown,gi|524221168|emb|CCZ87003.1|
Bacteroidetes,brown,gi|523982181|emb|CCX63590.1|
Bacteroidetes,brown,gi|502829727|ref|WP_013064703.1|
Bacteroidetes,brown,gi|500933190|ref|WP_012024152.1|
Bacteroidetes,brown,gi|547187643|ref|WP_021929483.1|
Bacteroidetes,brown,gi|652378673|ref|WP_026774609.1|
D5GU71,black,
D5GU72,black,
558561059,gray,
Actinobacteria,steelblue4,gi|328455242|gb|AEB06436.1|
Actinobacteria,steelblue4,gi|171277486|gb|EDT45147.1|
Actinobacteria,steelblue4,gi|551245804|ref|WP_022866125.1|
Actinobacteria,steelblue4,gi|332676724|gb|AEE73540.1|
Actinobacteria,steelblue4,gi|551243405|ref|WP_022863751.1|
Actinobacteria,steelblue4,gi|491531376|ref|WP_005388999.1|
Actinobacteria,steelblue4,gi|389864690|ref|YP_006366930.1|
Actinobacteria,steelblue4,gi|302466160|gb|EFL29253.1|
Actinobacteria,steelblue4,gi|158315001|ref|YP_001507509.1|
Actinobacteria,steelblue4,gi|389863880|ref|YP_006366120.1|
Actinobacteria,steelblue4,gi|158110464|gb|ABW12661.1|
Actinobacteria,steelblue4,gi|311230789|gb|ADP83644.1|
Actinobacteria,steelblue4,gi|572851891|emb|CDK00210.1|
Actinobacteria,steelblue4,gi|518011572|ref|WP_019181780.1|
Actinobacteria,steelblue4,gi|651355969|ref|WP_026468336.1|
Actinobacteria,steelblue4,gi|498041019|ref|WP_010355175.1|
Actinobacteria,steelblue4,gi|288541518|gb|ADC45590.1|
Actinobacteria,steelblue4,gi|663631576|ref|WP_030437445.1|
Actinobacteria,steelblue4,gi|651268213|ref|WP_026401406.1|
Actinobacteria,steelblue4,gi|657621111|ref|WP_029432101.1|
Actinobacteria,steelblue4,gi|518920634|ref|WP_020076509.1|
Actinobacteria,steelblue4,gi|517904521|ref|WP_019074729.1|
Actinobacteria,steelblue4,gi|664223934|ref|WP_030756733.1|
Actinobacteria,steelblue4,gi|497398785|ref|WP_009712998.1|
Actinobacteria,steelblue4,gi|491615873|ref|WP_005473428.1|
Actinobacteria,steelblue4,gi|664126026|ref|WP_030662822.1|
Euryarchaeota,blue,gi|494967900|ref|WP_007693926.1|
Euryarchaeota,blue,gi|493940075|ref|WP_006884271.1|
Euryarchaeota,blue,gi|256692666|gb|ACV13003.1|
Euryarchaeota,blue,gi|495799316|ref|WP_008523895.1|
Euryarchaeota,blue,gi|568634961|emb|CDK39035.1|
Euryarchaeota,blue,gi|502710125|ref|WP_012945273.1|
Firmicutes,blue,gi|506324813|ref|WP_015844585.1|
Firmicutes,blue,gi|343097163|emb|CCC85372.1|
Firmicutes,blue,gi|302870904|ref|YP_003839540.1|
Firmicutes,blue,gi|494212044|ref|WP_007130097.1|
Firmicutes,blue,gi|504182682|ref|WP_014370426.1|
Firmicutes,blue,gi|504182790|ref|WP_014370455.1|
Firmicutes,blue,gi|524841845|emb|CDF47034.1|
Firmicutes,blue,gi|524654411|emb|CDD65488.1|
Firmicutes,blue,gi|542968692|gb|ERI66982.1|
Firmicutes,blue,gi|302576457|gb|ADL50469.1|
Firmicutes,blue,gi|336009592|gb|EGN39584.1|
Firmicutes,blue,gi|524750523|emb|CDE46695.1|
Firmicutes,blue,gi|542973855|gb|ERI71629.1|
Firmicutes,blue,gi|524192691|emb|CCZ59214.1|
Firmicutes,blue,gi|472399204|gb|AGI39403.1|
Firmicutes,blue,gi|160878688|ref|YP_001557656.1|
Firmicutes,blue,gi|498182473|ref|WP_010496629.1|
Firmicutes,blue,gi|311904069|gb|ADQ14510.1|
Firmicutes,blue,gi|524720045|emb|CDE27066.1|
Firmicutes,blue,gi|497157184|ref|WP_009489743.1|
Firmicutes,blue,gi|257198970|gb|EEU97254.1|
Firmicutes,blue,gi|575004364|gb|ETW67352.1|
Firmicutes,blue,gi|504752150|ref|WP_014939252.1|
Firmicutes,blue,gi|495746217|ref|WP_008470796.1|
Firmicutes,blue,gi|496539142|ref|WP_009245290.1|
Firmicutes,blue,gi|551014528|ref|WP_022758881.1|
Firmicutes,blue,gi|655937966|ref|WP_028986218.1|
Firmicutes,blue,gi|646320881|ref|WP_025489161.1|
Firmicutes,blue,gi|504463129|ref|WP_014650231.1|
Firmicutes,blue,gi|655165080|ref|WP_028611603.1|
Firmicutes,blue,gi|315472363|gb|ADU28966.1|
Firmicutes,blue,gi|288863764|gb|EFC96062.1|
Firmicutes,blue,gi|222456901|gb|ACM61163.1|
Firmicutes,blue,gi|503056157|ref|WP_013291133.1|
Firmicutes,blue,gi|312201709|gb|ADQ45036.1|
Firmicutes,blue,gi|503167413|ref|WP_013402074.1|
Firmicutes,blue,gi|255269055|gb|EET62260.1|
Firmicutes,blue,gi|524193597|emb|CCZ57997.1|
Firmicutes,blue,gi|229791415|gb|EEP27529.1|
Firmicutes,blue,gi|238922354|ref|YP_002935868.1|
Firmicutes,blue,gi|310623158|gb|EFQ06599.1|
Firmicutes,blue,gi|225043189|gb|EEG53435.1|
Firmicutes,blue,gi|255265713|gb|EET58918.1|
Firmicutes,blue,gi|291539608|emb|CBL12719.1|
Firmicutes,blue,gi|374321938|ref|YP_005075067.1|
Firmicutes,blue,gi|13540345|gb|AAK29422.1|AF354044_1
Firmicutes,blue,gi|337747564|ref|YP_004641726.1|
Firmicutes,blue,gi|375079385|gb|EHS57610.1|
Firmicutes,blue,gi|402982126|gb|EJX97607.1|
Firmicutes,blue,gi|18143804|dbj|BAB79853.1|
Firmicutes,blue,gi|68448370|dbj|BAE05954.1|
Firmicutes,blue,gi|392511636|emb|CCI59004.1|
Firmicutes,blue,gi|493974278|ref|WP_006917366.1|
Firmicutes,blue,gi|328958380|ref|YP_004375766.1|
Firmicutes,blue,gi|371765910|gb|EHO54197.1|
Firmicutes,blue,gi|472232807|dbj|BAN05772.1|
Firmicutes,blue,gi|329129543|gb|AEB74096.1|
Firmicutes,blue,gi|251817858|emb|CAZ55612.1|
Firmicutes,blue,gi|334282461|dbj|BAK30034.1|
Firmicutes,blue,gi|222114151|emb|CAR42644.1|
Firmicutes,blue,gi|494702903|ref|YP_007968364.1|
Firmicutes,blue,gi|225699519|emb|CAW93083.1|
Firmicutes,blue,gi|410440311|emb|CCI62939.1|
Firmicutes,blue,gi|560294814|ref|WP_023612258.1|
Spirochaetes,yellow,gi|325970334|ref|YP_004246525.1|
Spirochaetes,yellow,gi|296018881|gb|ADG72118.1|
Spirochaetes,yellow,gi|320147346|gb|EFW38881.1|
Acidobacteria,peachpuff2,gi|504600272|ref|WP_014787374.1|
Acidobacteria,peachpuff2,gi|358753582|gb|AEU36972.1|
Acidobacteria,peachpuff2,gi|503335333|ref|WP_013569994.1|
Acidobacteria,peachpuff2,gi|94549660|gb|ABF39584.1|
Ignavibacteriae,pink,gi|504668142|ref|WP_014855244.1|
Verrucomicrobia,mediumpurple2,gi|501344523|ref|WP_012376158.1|
Verrucomicrobia,mediumpurple2,gi|495374809|ref|WP_008099521.1|
Crenarchaeota,cyan,gi|503067891|ref|WP_013302863.1|
Crenarchaeota,cyan,gi|157920785|gb|ABW02212.1|
Crenarchaeota,cyan,gi|497676516|ref|WP_009990700.1|
Crenarchaeota,cyan,gi|502110730|ref|WP_012712265.1|
Thermotogae,lightyellow,gi|147735174|gb|ABQ46514.1|
Thermotogae,lightyellow,gi|281374209|gb|ADA67771.1|
Arthropoda,seagreen,gi|24655438|ref|NP_725851.1|
Chordata,red,gi|3549609|gb|AAC34593.1|
Chordata,red,gi|268834192|ref|NP_000172.2|
Chordata,red,gi|6754098|ref|NP_034498.1|
Chordata,red,gi|2425091|gb|AAC48809.1|
Dictyoglomi,magenta,gi|206739527|gb|ACI18585.1|
Dictyoglomi,magenta,gi|501579558|ref|WP_012583888.1|
Fusobacteria,firebrick,gi|268315386|gb|ACZ01760.1|
Ascomycota,orange,gi|169625395|ref|XP_001806101.1|
Ascomycota,orange,gi|656908062|gb|KEF53798.1|
Ascomycota,orange,gi|340764266|gb|AEK69352.1|
Ascomycota,orange,gi|67538382|ref|XP_662965.1|
Ascomycota,orange,gi|83773744|dbj|BAE63869.1|
Ascomycota,orange,gi|599154980|gb|EYE94201.1|
Ascomycota,orange,gi|255940510|ref|XP_002561024.1|
Ascomycota,orange,gi|56474955|gb|AAV91785.1|
Ascomycota,orange,gi|115449425|ref|XP_001218603.1|
Ascomycota,orange,gi|358375248|dbj|GAA91833.1|
Ascomycota,orange,gi|350637795|gb|EHA26151.1|
Ascomycota,orange,gi|134054656|emb|CAK36851.1|
Ascomycota,orange,gi|56474960|gb|AAV91788.1|
Ascomycota,orange,gi|630038557|ref|XP_007840217.1|
Ascomycota,orange,gi|477530890|gb|ENH82615.1|
Ascomycota,orange,gi|530469119|gb|EQB50346.1|
Ascomycota,orange,gi|615451543|ref|XP_007594968.1|
Ascomycota,orange,gi|380480545|emb|CCF42371.1|
Ascomycota,orange,gi|408392415|gb|EKJ71771.1|
Ascomycota,orange,gi|310798100|gb|EFQ32993.1|
Ascomycota,orange,gi|596691595|ref|XP_007280839.1|
Ascomycota,orange,gi|530465043|gb|EQB47235.1|
Ascomycota,orange,gi|392514592|gb|AFM77719.1|
Ascomycota,orange,gi|302895970|ref|XP_003046865.1|
Ascomycota,orange,gi|584133153|gb|EWG42526.1|
Ascomycota,orange,gi|475672567|gb|EMT69725.1|
Ascomycota,orange,gi|587735036|gb|EXA32752.1|
Ascomycota,orange,gi|590024474|gb|EXK26332.1|
Spirochaetes,yellow,gi|323454469|gb|EGB10339.1|
Metagenomic,black,tr|D5GU71|D5GU71_9BACT
Metagenomic,black,tr|D5GU72|D5GU72_9BACT
